"BehaviorSpace results (NetLogo 6.3.0)"
"Sugarscape 1 Immediate Growback with government.nlogo"
"gini"
"02/23/2023 19:06:20:602 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200"
"initial-population","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400"
"redistribution","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"tax_rate","0","0","0","0","0","0","0","0","0","0","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0","0","0","0","0","0","0","0","0","0","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0","0","0","0","0","0","0","0","0","0","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0","0","0","0","0","0","0","0","0","0","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8"
"[reporter]","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2","(gini-index-reserve / count turtles) * 2"
"[final]","0.4806450421810576","0.5210045727464312","0.4749403960428225","0.5123673750615891","0.48437745113119407","0.4821110622650303","0.4968480116014316","0.46143038849291285","0.49573545837250105","0.4975932256497278","0.5060548299339555","0.526044726190284","0.5526912237833554","0.5536441769240866","0.5578948827514166","0.5360553649878192","0.5535515006553466","0.5555615446021126","0.5334416491211973","0.5379552864765574","0.5508881409343125","0.5538482885326351","0.5434958952092646","0.5572521807761628","0.5573118613445904","0.5288589379858082","0.5476331026632649","0.5613601380361939","0.5560061756666052","0.5447660715258559","0.39859882698123544","0.43848982794331326","0.4547246115944002","0.41506272938180355","0.4418822726585265","0.40241920668195447","0.38643091462968915","0.4383285024969401","0.40814915986747397","0.44066352682318105","0.1822590947223921","0.18746069741218532","0.16963703314583928","0.188340475997952","0.16553240834754462","0.16179941302400971","0.18595544636625924","0.18243420529058738","0.16802443461743435","0.16835325517887775","0.5977133711719287","0.5735024443029569","0.60306620219317","0.5910318438553306","0.5800627191060477","0.6001640600220682","0.59275416430339","0.5674484380254523","0.6077876581385111","0.6120310871307292","0.6013771946085953","0.6279331260918068","0.621021184032928","0.6158161883770727","0.6274820154603713","0.6187642875052488","0.6007536053458924","0.6125530571783734","0.6014416911665835","0.5978607373960299","0.624347500086107","0.6028670412374572","0.613295943250201","0.6023257779021406","0.6203218059233644","0.6082669339278272","0.605874142915693","0.5989427538885899","0.6284104125563144","0.6225496248503879","0.4422746653349324","0.479799698504519","0.463875255792761","0.4655688518616866","0.4587372953721835","0.45192182976942147","0.49032176250688086","0.49430085288581826","0.4943369932267043","0.488048497059775","0.2628209217164234","0.24693390045225966","0.26002352656824324","0.26102614487415876","0.2606217800675084","0.24417227833239996","0.24434528108389256","0.24017828962469928","0.2509661942002542","0.2526014967391828","0.6597484404524906","0.6359483980705943","0.638634257090633","0.6391105464215175","0.6485897379480463","0.6334734405294299","0.626913590197065","0.6185481378350157","0.614796174325586","0.6248039082515805","0.6621446435523806","0.6353939552017137","0.6412287176137059","0.657305369235863","0.6609774938862986","0.6395387039582809","0.6531418470205445","0.6419178038839097","0.6438333422696607","0.6553312753881019","0.6462232929381417","0.6265193272168541","0.6340757479748971","0.6372151407238633","0.6253797671782128","0.6286379970798545","0.6193365855386853","0.625330579158339","0.6335223704492595","0.6346206048455455","0.49217134260788886","0.4633064669101545","0.4572424838683588","0.4650122546361115","0.5054590972040817","0.48609805493034125","0.4775460857716774","0.476442078316885","0.4917558259531171","0.511510945528676","0.28933338324474117","0.2623664612163802","0.28337673738156377","0.28702053384138765","0.27311675623426934","0.28124092428385333","0.2687045340650917","0.2866588905419611","0.26372472911210293","0.2810705605098586","0.6603201641661727","0.6369297303114517","0.6276883259715983","0.6654843983752262","0.6323736701858068","0.6296316684581527","0.6072523052644125","0.6591804413719744","0.623598267279426","0.622357285209139","0.6416528520486979","0.6584255040802525","0.6552187597544044","0.6356017405377762","0.6495563639117974","0.6607805048827096","0.6605162512424796","0.6565416863311413","0.6520431079173917","0.6552721715275415","0.6095090052191382","0.6270699806565391","0.6186548469289875","0.638584982637516","0.6292258762791472","0.6274027610216721","0.6268235389172107","0.6136062441463068","0.6376425916709817","0.6325637412233598","0.499590039093395","0.4956635033074712","0.47139651976210295","0.4820875562478086","0.4529970639171408","0.43696723723248315","0.4759643167461004","0.4881048289012993","0.44699023061983356","0.4910785950810856","0.27814085600221355","0.27459408459108825","0.27336579298236724","0.27829009713338104","0.27334003164428955","0.26519908713432894","0.2658586846380265","0.26807865366291245","0.28454604655002563","0.2611189095956606"
"[min]","0.23205510955009198","0.23002620196306764","0.22580443772864636","0.2285731827111985","0.2259140179299104","0.23108180617467566","0.220388888888889","0.23687250996015943","0.22577344005227032","0.22763009612197535","0.22725938009787927","0.24471442529756612","0.2235194094226942","0.23021180842279101","0.23439261744966444","0.23302486648865173","0.22992681929681108","0.22512348178137662","0.22677937730164044","0.22986969278564037","0.2314440078585462","0.23213367501260265","0.23439156035328756","0.22857998704663202","0.2415324774698181","0.23126861966236348","0.23660323783692155","0.2370980027081922","0.23277681660899666","0.22385348226018395","0.18812553232296403","0.21749299845939699","0.22858099266230564","0.21684493424439216","0.2127124566896257","0.215729371077736","0.18955169923681928","0.22914480004484555","0.20317772235764386","0.2080531674835372","0.18157109709135968","0.18559547651391647","0.16838815472862692","0.1875557608207611","0.1628551415299569","0.15968851668466572","0.1855782123303108","0.17997711670480562","0.16616734904779942","0.16589626766415796","0.21969193548387092","0.23108779264214038","0.21984744501405656","0.23108119513842013","0.21844462279293742","0.2275962530079067","0.22330241801921166","0.23230276298268965","0.22999999999999993","0.23496858168761225","0.22491581259150795","0.23862180579216372","0.22717627063774715","0.22523060119745192","0.23310016556291413","0.2252146609752094","0.2223151831592906","0.22873798901853104","0.22062901102517687","0.21533266466064835","0.2292211490837059","0.21566406877711716","0.2334186027352118","0.22361675126903552","0.2290813604534846","0.2268213002286836","0.22777027027027016","0.23912596833950822","0.22594915687276448","0.23358573784006598","0.22148895566022378","0.23861195799458","0.22430665482151504","0.2283855939069841","0.22235626116615267","0.23374247491638783","0.22843680424730248","0.2205312047611386","0.22791794913332233","0.2224503661513425","0.22156974844821944","0.22848727735368968","0.2268423613363603","0.21907669996777304","0.2299844057780695","0.21996277112334048","0.23417875989445922","0.23552549383758234","0.2135329985652797","0.21936090848806367","0.2132581227436821","0.2237882059800665","0.2147500822097994","0.20502095524276442","0.20522249254434147","0.21982296492389164","0.20747533706017754","0.2074180196109949","0.2110664391173202","0.21050603490458308","0.20863827720207248","0.20895806555269913","0.2143380316115366","0.213967365028203","0.20950334554723576","0.20746468132926638","0.21849003322259133","0.20831098238374848","0.20713088878096156","0.2156532125205931","0.21272350860266953","0.21276979844469124","0.2079924242424241","0.2039785411098884","0.21705703391205575","0.21434838709677428","0.2132490396927017","0.20788803025320615","0.217128775834658","0.22350016302575798","0.21141843696697188","0.21371742605915262","0.21409227887278046","0.20811298659344188","0.2138162660520252","0.2145078163165607","0.21104276750330261","0.20492676484712669","0.21350190688066092","0.2095835303388497","0.21391263637844","0.21122837658017293","0.21969012855102366","0.21317098865478115","0.2134117695203795","0.21079709543568473","0.20145998729755474","0.2138720103425989","0.20154130025125638","0.20711851309581905","0.2045338303671636","0.19233254344391779","0.1997190622598001","0.19885682749921163","0.19707386808710645","0.1941846166211221","0.19241726673816448","0.19418583256669716","0.1944194350826511","0.19323990013617803","0.20005270741695746","0.19822484056618456","0.19620376126826242","0.19675185873605952","0.19492454573452406","0.19244511702986267","0.1886593518955482","0.1936769290724862","0.19307840213467262","0.20394825956843593","0.1933246554364472","0.19023735379006496","0.19845733373823257","0.2050273437499997","0.19224492979719188","0.19770534861509087","0.19823269909467536","0.1901904870972667","0.18992692432607988","0.19219130170316312","0.1905878573723098","0.19741027732463284","0.19786963748614864","0.19429004467134642","0.19611912803193118","0.20458299163523036","0.20314914502849887","0.1974222957378056","0.1909658365261812","0.18456345530338097","0.20373813229571955","0.19244264301009487","0.19344543744120407","0.20419827861013673","0.20002410305041848","0.19803288337780597","0.1880681818181818","0.19825927922377923","0.206599449303531","0.18986598890942705"
"[max]","0.4806450421810576","0.5210045727464312","0.4749403960428225","0.5123673750615891","0.48437745113119407","0.4821110622650303","0.4968480116014316","0.46143038849291285","0.49573545837250105","0.4975932256497278","0.5060548299339555","0.526044726190284","0.5526912237833554","0.5536441769240866","0.5578948827514166","0.5360553649878192","0.5535515006553466","0.5555615446021126","0.5334416491211973","0.5379552864765574","0.5508881409343125","0.5538482885326351","0.5434958952092646","0.5572521807761628","0.5573118613445904","0.5288589379858082","0.5476331026632649","0.5613601380361939","0.5560061756666052","0.5447660715258559","0.39859882698123544","0.43848982794331326","0.4547246115944002","0.41506272938180355","0.4418822726585265","0.40241920668195447","0.38643091462968915","0.4383285024969401","0.4082255898590307","0.44066352682318105","0.30701674957561365","0.301205156636762","0.2993251297080311","0.2997145462373311","0.2947601825224489","0.2788259794224891","0.30921341592852125","0.30210994489768683","0.3030440839127938","0.28852386811287734","0.5977133711719287","0.5735024443029569","0.60306620219317","0.5910318438553306","0.5800627191060477","0.6001640600220682","0.59275416430339","0.5674484380254523","0.6077876581385111","0.6120310871307292","0.6013771946085953","0.6279331260918068","0.621021184032928","0.6158161883770727","0.6274820154603713","0.6187642875052488","0.6007536053458924","0.6125530571783734","0.6014416911665835","0.5978607373960299","0.624347500086107","0.6028670412374572","0.613295943250201","0.6023257779021406","0.6203218059233644","0.6082669339278272","0.605874142915693","0.5989427538885899","0.6284104125563144","0.6225496248503879","0.4422746653349324","0.479799698504519","0.463875255792761","0.4655688518616866","0.4587372953721835","0.45192182976942147","0.49032176250688086","0.49430085288581826","0.4943369932267043","0.488048497059775","0.30624749105141674","0.28725382561660184","0.2934583234411613","0.3040669539664873","0.30221213348272685","0.2934524280533828","0.305309144514991","0.30315496112471674","0.2889399396708785","0.2828264119910311","0.6597484404524906","0.6359483980705943","0.638634257090633","0.6391105464215175","0.6485897379480463","0.6334734405294299","0.626913590197065","0.6185481378350157","0.614796174325586","0.6248039082515805","0.6621446435523806","0.6353939552017137","0.6412287176137059","0.657305369235863","0.6609774938862986","0.6395387039582809","0.6531418470205445","0.6419178038839097","0.6438333422696607","0.6553312753881019","0.6462232929381417","0.6265193272168541","0.6340757479748971","0.6372151407238633","0.6253797671782128","0.6286379970798545","0.6193365855386853","0.625330579158339","0.6335223704492595","0.6346206048455455","0.49217134260788886","0.4633064669101545","0.4572424838683588","0.4650122546361115","0.5054590972040817","0.48609805493034125","0.4775460857716774","0.476442078316885","0.4917558259531171","0.511510945528676","0.29389650693054936","0.2686950607978203","0.2870308536320095","0.29009000253807343","0.28776257496313107","0.2931646279855928","0.2781992909221055","0.2933559335018773","0.26978896897678695","0.29322479386241374","0.6603201641661727","0.6369297303114517","0.6280652738653243","0.6657323024048585","0.6324721383190456","0.6296316684581527","0.6072523052644125","0.6591804413719744","0.623598267279426","0.622357285209139","0.6416528520486979","0.6584255040802525","0.6555246404816601","0.6356017405377762","0.6495563639117974","0.6607805048827096","0.6605162512424796","0.6573055134704546","0.6527068932530657","0.6555610920087205","0.6095090052191382","0.6270699806565391","0.61916922261086","0.638584982637516","0.6292258762791472","0.6274027610216721","0.6281176512694883","0.6136175234154172","0.638336502729008","0.6331683133346658","0.499590039093395","0.4956635033074712","0.47139651976210295","0.4820875562478086","0.4529970639171408","0.44022190108024917","0.47704662482996624","0.4881048289012993","0.4471065715786222","0.4926116355597878","0.2830138423687451","0.2758002399342304","0.27361874914216744","0.2789454283230221","0.27434157894806216","0.26577670732535474","0.266554603684956","0.2701106107494196","0.2845460465500259","0.2635199294664134"
"[mean]","0.4310411461693423","0.46568002670816283","0.43003039029116635","0.4583311346610988","0.43668162718266545","0.43116676949592386","0.4440414342072952","0.4191708241181678","0.4432270205735663","0.4419253393927924","0.431324127353851","0.45199608052416523","0.46271824599554995","0.4598575624871071","0.47105591054433765","0.45871456260762716","0.4647282930265227","0.4687061939059282","0.4520499933351048","0.46035962295343164","0.4291598700367524","0.4353546833314869","0.41975828811924054","0.43433874698965286","0.42476650950108796","0.4078071008734911","0.42559158881731574","0.4452638537287247","0.4343163291002618","0.42788106374120105","0.30044559063367887","0.334287982135747","0.34860923931544396","0.3213428324393231","0.33575451784339955","0.31180430627639","0.2932522024415399","0.3382946999364716","0.3119410045416917","0.33303685772361363","0.19154369183652903","0.19654829036445884","0.1798770275681252","0.19755813761214033","0.17474613552889515","0.1695898810637037","0.19531655767072773","0.19093049623826044","0.17808686313681674","0.17721248654552432","0.5309481779736164","0.5103930739491149","0.5327923686363101","0.5244467971867884","0.5113842063449138","0.5310704142746953","0.5215280810219775","0.499800645029515","0.5355314233055891","0.5394644715498333","0.5083462517479362","0.5298647036775337","0.5227804224252861","0.5212761491430002","0.5329185832292357","0.5227353210716977","0.5114750984039311","0.5118001707074421","0.5124715146373788","0.5086228997894947","0.5023372316305794","0.47682135747769244","0.4923166302826127","0.48221830326300275","0.49478894966579035","0.4872398591555701","0.4814024834931885","0.4794059717233726","0.5023408757092507","0.49451642141958024","0.3531829490498741","0.3760404445336261","0.37110073687835216","0.3735398653123614","0.3701852738465864","0.3581785275812807","0.38754754481768705","0.3886017287591251","0.3916475115649764","0.38866260050017015","0.26451739272697017","0.2487786956173451","0.2603410251579496","0.262312565083418","0.262237269483796","0.24583026750139236","0.24670707756611537","0.2427788546399387","0.251029709823961","0.2529199782152502","0.5692621622610486","0.5559302361041183","0.556560118260086","0.556219995016846","0.5650431215539589","0.5540367116476403","0.5478022655691063","0.5426639031618115","0.5356656953655479","0.5448050024976013","0.55287922054782","0.5330883626135332","0.5373703916705823","0.5489793440472934","0.5494563812113682","0.5329687011769139","0.5478152891922602","0.54077640579372","0.5410206764843187","0.5466755124525028","0.51857986979525","0.49880830741088744","0.5060005014691646","0.5096305739377949","0.49845215579504587","0.5018947975706501","0.4902074680926263","0.4966797211804651","0.5051169123715469","0.5065829675121217","0.3902158459745444","0.37304408196339717","0.36705320871491043","0.37663995209269646","0.40456611531408726","0.3911072827203812","0.38613965739468525","0.3861324911285188","0.3942176177861112","0.41060011185240336","0.2877628100812746","0.2610091263914004","0.28050518630877713","0.285137700876998","0.2728889648296285","0.28066692494351464","0.2666087774547356","0.28558832879740614","0.26240185355953805","0.27916810830648153","0.5718809718739554","0.5575422941225593","0.5502556951888761","0.5769033814394391","0.5503037249793515","0.5486659147482028","0.5312646045670908","0.5692498778658155","0.5438333893536283","0.5435209970916544","0.5384112025028527","0.5474829813100783","0.5451227721412115","0.5307902442389394","0.5437042040879589","0.5518267124310738","0.5461290443234992","0.5523185743649118","0.5413176404298728","0.5445605620506828","0.47992894546399945","0.49719219725127944","0.49008433087985315","0.511570084675334","0.49662820504527283","0.49619037318520043","0.4986806619265984","0.48259503939938264","0.509713070283585","0.5056636347622805","0.3987242510302095","0.39469102109117854","0.37885251784075147","0.388064658950659","0.366217799239712","0.3615517101367567","0.3842901394562259","0.3919576939227406","0.3638811462839176","0.3937506705058046","0.27833466593027606","0.2720008660209437","0.26942584895418564","0.27496301262991113","0.2710615851121143","0.2629366692969095","0.2622991984744067","0.2662229191687166","0.2806652489440278","0.2600024668088788"
"[steps]","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200"

